Date,Germany,Spain,France,Italy,UK,US,Japan
01/10/1982,,,291412.4,,202520.2,6802.497,
01/01/1983,,,292756.2,,206187,6892.144,
01/04/1983,,,292694.4,,207945.3,7048.982,
01/07/1983,,,293197.7,,210234.9,7189.896,
01/10/1983,,,294466.3,,212053.2,7339.893,
01/01/1984,,,296459.3,,213515,7483.371,
01/04/1984,,,297453.5,,211653,7612.668,
01/07/1984,,,298956.7,,213030.2,7686.059,
01/10/1984,,,299739.3,,217261.8,7749.151,
01/01/1985,,,300283.2,,219094.7,7824.247,
01/04/1985,,,302379.7,,223762.9,7893.136,
01/07/1985,,,304363.1,,223974.9,8013.674,
01/10/1985,,,305383.3,,224518.9,8073.239,
01/01/1986,,,306590.9,,227076.7,8148.603,
01/04/1986,,,309890.2,,228738.7,8185.303,
01/07/1986,,,311187.7,,229737.4,8263.639,
01/10/1986,,,312151.8,,233791.7,8308.021,
01/01/1987,,,312687.1,,235877.5,8369.93,
01/04/1987,,,316378.6,,239285,8460.233,
01/07/1987,,,318646,,245070.2,8533.635,
01/10/1987,,,324123.9,,247843.7,8680.162,
01/01/1988,,,327751.6,,252326.4,8725.006,
01/04/1988,,,329970.8,,253836.4,8839.641,
01/07/1988,,,334381.1,,257718.7,8891.435,
01/10/1988,,,337926.7,,259939.1,9009.913,
01/01/1989,,,342023,,261070.7,9101.508,
01/04/1989,,,344703,,262773.6,9170.977,
01/07/1989,,,348854.3,,263019.2,9238.923,
01/10/1989,,,353846.2,,263256.6,9257.128,
01/01/1990,,,355379.4,,265050.4,9358.289,
01/04/1990,,,357515.5,,266415.7,9392.251,
01/07/1990,,,358835.2,,263650.4,9398.499,
01/10/1990,,,359824.5,,262767.2,9312.937,
01/01/1991,512464.4,,359121.2,,262028.6,9269.367,
01/04/1991,510335.8,,361245.7,,261709.3,9341.642,
01/07/1991,507820.3,,361921.9,,261110.7,9388.845,
01/10/1991,514270.5,,363548.9,,261526.4,9421.565,
01/01/1992,522510.4,,366997.9,,261505.5,9534.346,
01/04/1992,519092,,367166.9,,261187.2,9637.732,
01/07/1992,517608.4,,366896.4,,262860,9732.979,
01/10/1992,516512,,366317.7,,264704.7,9834.51,
01/01/1993,511771,,363882.2,,266643.1,9850.973,
01/04/1993,512222.5,,364136.3,,267998.5,9908.347,
01/07/1993,515899.2,,364755.5,,270155.2,9955.641,
01/10/1993,515512.2,,365449.2,,271993.6,10091.049,
01/01/1994,521752.7,,368108.9,,275303.8,10188.954,425018
01/04/1994,523558.6,,372161.7,,278499.3,10327.019,423031.4
01/07/1994,527622.3,,374400.2,,281662.1,10387.382,427826.1
01/10/1994,534459.5,,377640.5,,283265.8,10506.372,426132.6
01/01/1995,532024.4,175970,379597.9,351786,284177.3,10543.644,430874.8
01/04/1995,536733.1,177180,381194.8,352890,285202.4,10575.1,435459.2
01/07/1995,538539.2,178023,381885.6,352158,288004.1,10665.06,440529.6
01/10/1995,538281.2,179277,382493.3,355198,288815.5,10737.478,441658.5
01/01/1996,532766.5,180434,384576.2,357814.6,291419.8,10817.896,445515.1
01/04/1996,540506.5,181582,385775.2,355979,292347.6,10998.322,450734.3
01/07/1996,543860.4,183351,388011.7,356622.5,294344.3,11096.976,450927.5
01/10/1996,546827.4,184085,388404.9,356458.9,297146.8,11212.205,456193.3
